With Curriculum:
Loading data from data-1d.npz
Epoch 01 | train loss 0.5037 acc 0.8393 | val loss 0.1832 acc 0.9306
Epoch 02 | train loss 0.1525 acc 0.9502 | val loss 0.1164 acc 0.9683
Epoch 03 | train loss 0.0926 acc 0.9755 | val loss 0.0763 acc 0.9733
Epoch 04 | train loss 0.0583 acc 0.9859 | val loss 0.0455 acc 0.9933
Epoch 05 | train loss 0.0389 acc 0.9918 | val loss 0.0321 acc 0.9976
Epoch 06 | train loss 0.0278 acc 0.9950 | val loss 0.0235 acc 0.9956
Epoch 07 | train loss 0.0201 acc 0.9968 | val loss 0.0177 acc 0.9970
Epoch 08 | train loss 0.0143 acc 0.9985 | val loss 0.0114 acc 0.9990
Epoch 09 | train loss 0.0101 acc 0.9989 | val loss 0.0082 acc 0.9990
Epoch 10 | train loss 0.0074 acc 0.9995 | val loss 0.0055 acc 1.0000
Loading data from data-2d.npz
Epoch 01 | train loss 0.4344 acc 0.9093 | val loss 0.2078 acc 0.9264
Epoch 02 | train loss 0.1746 acc 0.9371 | val loss 0.1326 acc 0.9561
Epoch 03 | train loss 0.0965 acc 0.9708 | val loss 0.0667 acc 0.9825
Epoch 04 | train loss 0.0467 acc 0.9913 | val loss 0.0318 acc 0.9946
Epoch 05 | train loss 0.0231 acc 0.9962 | val loss 0.0167 acc 0.9976
Epoch 06 | train loss 0.0121 acc 0.9981 | val loss 0.0088 acc 0.9988
Epoch 07 | train loss 0.0093 acc 0.9984 | val loss 0.0046 acc 0.9997
Epoch 08 | train loss 0.0039 acc 0.9995 | val loss 0.0046 acc 0.9990
Epoch 09 | train loss 0.0041 acc 0.9993 | val loss 0.0036 acc 0.9992
Epoch 10 | train loss 0.0046 acc 0.9990 | val loss 0.0016 acc 1.0000
Loading data from data-3d.npz
Epoch 01 | train loss 0.4854 acc 0.9154 | val loss 0.2020 acc 0.9325
Epoch 02 | train loss 0.1885 acc 0.9340 | val loss 0.1612 acc 0.9426
Epoch 03 | train loss 0.1063 acc 0.9641 | val loss 0.0707 acc 0.9797
Epoch 04 | train loss 0.0510 acc 0.9892 | val loss 0.0334 acc 0.9939
Epoch 05 | train loss 0.0269 acc 0.9950 | val loss 0.0202 acc 0.9965
Epoch 06 | train loss 0.0165 acc 0.9970 | val loss 0.0135 acc 0.9967
Epoch 07 | train loss 0.0110 acc 0.9979 | val loss 0.0100 acc 0.9980
Epoch 08 | train loss 0.0070 acc 0.9988 | val loss 0.0154 acc 0.9967
Epoch 09 | train loss 0.0068 acc 0.9986 | val loss 0.0073 acc 0.9981
Epoch 10 | train loss 0.0046 acc 0.9992 | val loss 0.0025 acc 0.9999

Without Curriculum:
Loading data from data-3d.npz
Epoch 01 | train loss 0.6350 acc 0.7819 | val loss 0.4376 acc 0.8479
Epoch 02 | train loss 0.2924 acc 0.9085 | val loss 0.1708 acc 0.9652
Epoch 03 | train loss 0.1101 acc 0.9795 | val loss 0.0689 acc 0.9901
Epoch 04 | train loss 0.0483 acc 0.9923 | val loss 0.0305 acc 0.9961
Epoch 05 | train loss 0.0255 acc 0.9960 | val loss 0.0179 acc 0.9977
Epoch 06 | train loss 0.0160 acc 0.9973 | val loss 0.0118 acc 0.9984
Epoch 07 | train loss 0.0106 acc 0.9983 | val loss 0.0081 acc 0.9987
Epoch 08 | train loss 0.0077 acc 0.9987 | val loss 0.0092 acc 0.9979
Epoch 09 | train loss 0.0078 acc 0.9985 | val loss 0.0037 acc 0.9997
Epoch 10 | train loss 0.0042 acc 0.9995 | val loss 0.0051 acc 0.9994
